feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Actinomyces_oris	Case_status	PD	1.82295871227929	0.279317918238553	724	345	1.2702387232473e-10	9.79354055623671e-08
s__Bifidobacterium_dentium	Case_status	PD	2.02876054898413	0.343568569399912	724	243	5.43509433258355e-09	2.09522886521096e-06
s__Streptococcus_mutans	Case_status	PD	1.63633135016154	0.281410063392048	724	206	9.12780306827042e-09	2.3458453885455e-06
s__Clostridium_leptum	Case_status	PD	1.80997900835993	0.317986927021555	724	606	1.82811307775878e-08	3.52368795738006e-06
s__Ruthenibacterium_lactatiformans	Case_status	PD	1.12015530666275	0.202895129138035	724	707	4.71218760127621e-08	7.26619328116792e-06
s__Blautia_wexlerae	Case_status	PD	-1.9288660812652	0.375522993726294	724	647	3.6076571224405e-07	4.63583940233604e-05
s__Enterococcus_avium	Case_status	PD	0.816195147786605	0.168873963488419	724	54	1.64326677642651e-06	0.000158369835578105
s__Ruminococcaceae_bacterium_D5	Case_status	PD	1.23846941596776	0.255007573121579	724	199	1.46576986156882e-06	0.000158369835578105
s__Roseburia_intestinalis	Case_status	PD	-2.22503928997238	0.485435659328483	724	464	5.38763438510215e-06	0.000461540678990417
s__Eisenbergiella_tayi	Case_status	PD	1.42614586006161	0.315684901563124	724	366	7.30716452698839e-06	0.000563382385030805
s__Lactobacillus_vaginalis	collection_method	swab	3.20456456191453	0.722199809314469	724	38	1.05390862855486e-05	0.000738694138741631
s__Coprobacillus_cateniformis	Case_status	PD	0.927634387953632	0.213781065538668	724	94	1.63466778553605e-05	0.00105027405220691
s__Eisenbergiella_tayi	seqs_scaled	seqs_scaled	0.624424133968624	0.147849876112802	724	366	2.71550138583559e-05	0.00161050120652249
s__Pseudoflavonifractor_capillosus	seqs_scaled	seqs_scaled	0.216425416321304	0.0533579028927209	724	52	5.53460148178006e-05	0.00284478516163495
s__Turicibacter_sanguinis	Case_status	PD	1.09502270948402	0.269823864187193	724	129	5.48436937215548e-05	0.00284478516163495
s__Ruminococcus_lactaris	Case_status	PD	-1.21007896547517	0.305415427203516	724	203	8.16975301167313e-05	0.00393679973249999
s__Lactobacillus_salivarius	Case_status	PD	0.908560544510069	0.230176718215192	724	84	8.68154218983677e-05	0.00393733472256715
s__Clostridium_sp_CAG_299	Case_status	PD	-1.12657008336668	0.288940060267151	724	120	0.000105629763620713	0.00452447487508719
s__Collinsella_massiliensis	Case_status	PD	0.88317545349273	0.229496873025452	724	357	0.000129496984617799	0.0052548513231749
s__Scardovia_wiggsiae	Case_status	PD	0.562390677770334	0.147343582849801	724	55	0.000146782530200655	0.00565846653923525
s__Streptococcus_australis	Case_status	PD	-0.590923387280966	0.155987565020024	724	86	0.000164369625563534	0.00580844543795506
s__Anaerostipes_hadrus	Case_status	PD	-1.62546459830769	0.429316688126358	724	524	0.000165740336750987	0.00580844543795506
s__Pseudoflavonifractor_sp_An184	seqs_scaled	seqs_scaled	0.374796646601243	0.100400311007039	724	88	0.000204122531625668	0.00684254225579958
s__Megasphaera_sp_DISK_18	collection_method	swab	4.30672286683715	1.18590501203545	724	59	0.000301658752181753	0.00969078741383882
s__Actinomyces_sp_HPA0247	Case_status	PD	0.832378331856588	0.236443015264062	724	157	0.000457992345282274	0.0105410143827913
s__Actinomyces_sp_oral_taxon_448	Case_status	PD	0.556482290258508	0.1550406835675	724	61	0.000354095280751681	0.0105410143827913
s__Bacteroides_stercoris	seqs_scaled	seqs_scaled	0.77104570164248	0.218600233616616	724	583	0.000446622935209789	0.0105410143827913
s__Porphyromonas_asaccharolytica	Case_status	PD	0.80479988816737	0.22856342311556	724	59	0.000456797980042914	0.0105410143827913
s__Enterococcus_faecalis	collection_method	swab	2.97679480930162	0.837261606674135	724	53	0.000402090092478982	0.0105410143827913
s__Lactobacillus_fermentum	Case_status	PD	1.12273280142773	0.313786472889759	724	141	0.000369407374312758	0.0105410143827913
s__Lactobacillus_paragasseri	Case_status	PD	0.659906175422763	0.188263129942579	724	57	0.000484457993652308	0.0105410143827913
