feature	s__Bifidobacterium_dentium	s__Bifidobacterium_bifidum	s__Bifidobacterium_breve	s__Bifidobacterium_longum	s__Lactobacillus_fermentum	s__Lactobacillus_salivarius	s__Lactobacillus_rhamnosus	s__Actinomyces_naeslundii	s__Actinomyces_oris	s__Actinomyces_sp_HPA0247	s__Streptococcus_anginosus_group	s__Streptococcus_mutans	s__Streptococcus_vestibularis	s__Escherichia_coli	s__Klebsiella_pneumoniae	s__Klebsiella_quasipneumoniae	s__Blautia_wexlerae	s__Blautia_hansenii	s__Anaerostipes_hadrus	s__Clostridium_sp_CAG_58	s__Eubacterium_eligens	s__Eubacterium_hallii	s__Eubacterium_ramulus	s__Eubacterium_rectale	s__Eubacterium_sp_CAG_38	s__Faecalibacterium_prausnitzii	s__Fusicatenibacter_saccharivorans	s__Roseburia_faecis	s__Roseburia_intestinalis	s__Roseburia_inulinivorans	s__Ruminococcus_bicirculans	s__Ruminococcus_lactaris
DP310	-18.8959446595935	-14.8741182971403	-18.2311288511831	-19.005569150768	-19.6096404744368	-18.5530569460704	-18.6685341634904	-19.4986091620481	-19.2993003538247	-19.8611792414328	-17.8611792414328	-17.7299347081545	-16.8959446595935	-17.1982142287103	-17.2762167407116	-16.1088384213797	-18.346606068603	-20.0835716627692	-18.7940650455742	-16.8526172279294	-17.4461417421539	-16.6096404744368	-18.8611792414328	-3.22035197057386	-19.2534966642115	-7.77744666531091	-20.7940650455742	-20.0835716627692	-20.4461417421539	-19.5530569460704	-18.4206066500468	-16.1874074737538
DP309	-18.8959446595935	-12.8430453127075	-18.2311288511831	-16.0246779737157	-19.6096404744368	-18.5530569460704	-18.6685341634904	-19.4986091620481	-19.2993003538247	-19.8611792414328	-17.8611792414328	-17.7299347081545	-16.8959446595935	-17.1982142287103	-17.2762167407116	-16.1088384213797	-5.9642792570129	-20.0835716627692	-7.20462668907752	-6.74522215505775	-17.4461417421539	-5.57864925094725	-18.8611792414328	-3.73451509493138	-10.2121797483821	-5.16763005722849	-5.18254242659854	-20.0835716627692	-11.9047685099805	-19.5530569460704	-6.52321228915702	-16.1874074737538
DP308	-8.35046216116738	-14.4853123394346	-18.2311288511831	-3.43958085278515	-19.6096404744368	-18.5530569460704	-10.3844812486594	-10.7301797518988	-19.2993003538247	-19.8611792414328	-17.8611792414328	-8.6327613552292	-16.8959446595935	-7.53036904391427	-17.2762167407116	-16.1088384213797	-14.0150919248865	-20.0835716627692	-18.7940650455742	-16.8526172279294	-17.4461417421539	-8.49892228088617	-18.8611792414328	-11.3320276036801	-10.5600097067122	-6.65925954848923	-20.7940650455742	-20.0835716627692	-9.25015444412542	-19.5530569460704	-18.4206066500468	-16.1874074737538
DP307	-9.04465267347692	-2.44580056891868	-4.99458103995422	-2.15317118738394	-19.6096404744368	-6.16640681049234	-9.02919345483815	-19.4986091620481	-19.2993003538247	-19.8611792414328	-17.8611792414328	-17.7299347081545	-16.8959446595935	-7.18774396239456	-17.2762167407116	-16.1088384213797	-18.346606068603	-20.0835716627692	-18.7940650455742	-16.8526172279294	-8.88505841039792	-11.2499787521029	-18.8611792414328	-19.6096404744368	-19.2534966642115	-10.8414561496599	-13.5444128516612	-20.0835716627692	-20.4461417421539	-13.7757383977676	-18.4206066500468	-16.1874074737538
DP305	-12.5120296778104	-1.17773485203027	-18.2311288511831	-4.36330958826287	-19.6096404744368	-18.5530569460704	-18.6685341634904	-10.8989717747622	-10.8981455677867	-12.5230265270273	-17.8611792414328	-17.7299347081545	-11.6438561897747	-17.1982142287103	-17.2762167407116	-16.1088384213797	-12.2422694087883	-20.0835716627692	-3.56680294164906	-16.8526172279294	-17.4461417421539	-16.6096404744368	-18.8611792414328	-4.12924911400986	-19.2534966642115	-17.8272319095094	-8.44011627728681	-20.0835716627692	-20.4461417421539	-19.5530569460704	-8.5830617043091	-16.1874074737538
DP304	-5.25217094331023	-20.6685341634904	-18.2311288511831	-4.91408156695741	-19.6096404744368	-18.5530569460704	-18.6685341634904	-19.4986091620481	-19.2993003538247	-19.8611792414328	-17.8611792414328	-8.76634750110323	-16.8959446595935	-17.1982142287103	-7.03355299421689	-11.4517883052951	-3.05616836893228	-20.0835716627692	-18.7940650455742	-6.9854664523514	-17.4461417421539	-16.6096404744368	-18.8611792414328	-12.6378670272434	-19.2534966642115	-14.2228295279646	-20.7940650455742	-20.0835716627692	-5.53203695362878	-19.5530569460704	-18.4206066500468	-16.1874074737538
DP303	-11.8345899329536	-20.6685341634904	-12.2429685583251	-3.09730122748623	-19.6096404744368	-18.5530569460704	-11.111389606909	-19.4986091620481	-11.7691772405673	-19.8611792414328	-17.8611792414328	-9.83590782382896	-9.87737127493536	-14.2394761938966	-17.2762167407116	-16.1088384213797	-13.942883882552	-20.0835716627692	-9.12671154206621	-9.41163751791557	-17.4461417421539	-16.6096404744368	-18.8611792414328	-6.86436952284791	-19.2534966642115	-4.84692624713621	-3.68426220988123	-20.0835716627692	-11.4582686981829	-19.5530569460704	-6.84511716247006	-16.1874074737538
DP302	-18.8959446595935	-20.6685341634904	-18.2311288511831	-13.4237739291255	-19.6096404744368	-18.5530569460704	-18.6685341634904	-19.4986091620481	-19.2993003538247	-19.8611792414328	-17.8611792414328	-17.7299347081545	-16.8959446595935	-17.1982142287103	-17.2762167407116	-16.1088384213797	-9.48046051081814	-20.0835716627692	-8.06742112409025	-10.1329347677686	-8.46411585520095	-7.61738187994955	-18.8611792414328	-7.11206802457207	-8.88103966379362	-3.08187026747288	-3.52071976291866	-20.0835716627692	-6.48471788791838	-19.5530569460704	-6.32233210606302	-16.1874074737538
DP301	-18.8959446595935	-20.6685341634904	-18.2311288511831	-8.38390282097075	-19.6096404744368	-18.5530569460704	-18.6685341634904	-19.4986091620481	-19.2993003538247	-19.8611792414328	-17.8611792414328	-17.7299347081545	-16.8959446595935	-4.68713040104854	-12.8871744499657	-16.1088384213797	-7.4304280260583	-20.0835716627692	-7.49892228088617	-7.23451413636772	-7.80528354554365	-7.28134702546663	-11.2630380991378	-5.11926088152344	-8.0081296545028	-3.07557595306448	-5.33490707870743	-6.32912486586376	-7.36720469210843	-6.65272712766401	-3.69302947930788	-10.8123680424068
DP300	-18.8959446595935	-14.5495930907669	-18.2311288511831	-5.46239738346395	-12.2269732216918	-18.5530569460704	-15.2311288511831	-19.4986091620481	-19.2993003538247	-19.8611792414328	-11.8053803588021	-17.7299347081545	-11.6619743176408	-9.22619537201781	-5.18182481770082	-7.96020464496224	-9.25446559580151	-8.88806274589601	-6.02071975428297	-16.8526172279294	-7.52552304527412	-16.6096404744368	-7.75013674748517	-3.13296893822553	-9.07172322540273	-12.5565291379772	-5.0904661938269	-6.43492696857316	-4.78467378081532	-5.22400452352362	-18.4206066500468	-6.83602319657955
