feature	s__Bifidobacterium_dentium	s__Bifidobacterium_bifidum	s__Bifidobacterium_breve	s__Bifidobacterium_longum	s__Lactobacillus_fermentum	s__Lactobacillus_salivarius	s__Lactobacillus_rhamnosus	s__Actinomyces_naeslundii	s__Actinomyces_oris	s__Actinomyces_sp_HPA0247	s__Streptococcus_anginosus_group	s__Streptococcus_mutans	s__Streptococcus_vestibularis	s__Escherichia_coli	s__Klebsiella_pneumoniae	s__Klebsiella_quasipneumoniae	s__Blautia_wexlerae	s__Blautia_hansenii	s__Anaerostipes_hadrus	s__Clostridium_sp_CAG_58	s__Eubacterium_eligens	s__Eubacterium_hallii	s__Eubacterium_ramulus	s__Eubacterium_rectale	s__Eubacterium_sp_CAG_38	s__Faecalibacterium_prausnitzii	s__Fusicatenibacter_saccharivorans	s__Roseburia_faecis	s__Roseburia_intestinalis	s__Roseburia_inulinivorans	s__Ruminococcus_bicirculans	s__Ruminococcus_lactaris
DP310	0	3.33e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1072945	0	0.0045578	0	0	0	0	0	0
DP309	0	0.0001361	0	1.5e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.0160167	0	0.0067794	0.0093215	0	0.0209247	0	0.0751275	0.000843	0.027822	0.0275359	0	0.0002608	0	0.0108722	0
DP308	0.0030638	4.36e-05	0	0.0921686	0	0	0.0007481	0.0005887	0	0	0	0.0025193	0	0.0054092	0	0	6.04e-05	0	0	0	0	0.0027642	0	0.0003879	0.0006624	0.0098938	0	0	0.0016422	0	0	0
DP307	0.0018936	0.1835442	0.0313676	0.2248179	0	0.0139228	0.001914	0	0	0	0	0	0	0.0068592	0	0	0	0	0	0	0.0021151	0.0004106	0	0	0	0.000545	8.37e-05	0	0	7.13e-05	0	0
DP305	0.0001712	0.442045	0	0.0485862	0	0	0	0.0005237	0.000524	0.0001699	0	0	0.0003125	0	0	0	0.0002064	0	0.0843889	0	0	0	0	0.0571442	0	0	0.0028792	0	0	0	0.0026076	0
DP304	0.0262385	0	0	0.0331676	0	0	0	0	0	0	0	0.0022965	0	0	0.0076329	0.000357	0.1202269	0	0	0.0078916	0	0	0	0.0001569	0	5.23e-05	0	0	0.0216118	0	0	0
DP303	0.0002738	0	0.0002063	0.1168475	0	0	0.000452	0	0.0002865	0	0	0.0010942	0.0010632	5.17e-05	0	0	6.35e-05	0	0.0017889	0.0014683	0	0	0	0.0085826	0	0.034748	0.0777905	0	0.0003554	0	0.0086979	0
DP302	0	0	0	9.1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.0013999	0	0.0037279	0.0008906	0.0028317	0.0050926	0	0.0072286	0.002121	0.118104	0.087128	0	0.0111662	0	0.0124965	0
DP301	0	0	0	0.0029936	0	0	0	0	0	0	0	0	0	0.038818	0.000132	0	0.0057972	0	0.0055284	0.0066404	0.0044707	0.0064283	0.0004069	0.0287706	0.0038843	0.1186204	0.0247761	0.0124378	0.0060569	0.0099387	0.0773192	0.0005561
DP300	0	4.17e-05	0	0.0226806	0.0002086	0	2.6e-05	0	0	0	0.0002794	0	0.0003086	0.0016697	0.0275496	0.0040155	0.0016373	0.0021107	0.0154022	0	0.0054274	0	0.0046449	0.1139941	0.0018584	0.000166	0.0293506	0.0115583	0.0362802	0.0267558	0	0.0087529
DP299	0.0003202	0	0	9.31e-05	0	0	0	0	0	9e-06	0	0	0	0.0001775	0	0	0.001289	0	0.0094447	0.0037216	0	0.0058405	0.0064389	0.1408788	0	0.0411816	0.0196688	0	0	0.006722	0	0.0105048
DP297	7.39e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000187	0	0	5.79e-05	0	0	0.0130532	0	0	0	7.19e-05	0	8.34e-05	0.0021388	0.1236048	0	0.0179226	0	0
DP296	0	0	0	0.0005909	0	0	0	0	0	0	0	0	0	0	0.0359264	0.0037056	0.0118728	6.4e-06	0.0136292	0	0.0054046	0	0	0.0394853	0.0056441	1.34e-05	0.0274509	0.0013825	0.0152902	0.0109525	0	0
DP295	0	0	0	3.09e-05	0	0	0	2.68e-05	0	1.91e-05	0	0	0	0	0	0	0.0122587	0.0004014	0.0010219	0	0	0	0.0064727	0	0	0.0786375	0.0571117	0.0143343	0	0	0	0
DP294	0	0	0	0.0916581	0	0	0	0	0	0	0	0	0	0.0002461	0	0	0.2672842	0	0	0.0085546	0	0	0	9.8e-06	0	0.0001148	0	0	0.0003443	0.0006799	0	0
DP293	0	0	0	0.0117717	0	0	0	0	0	0	0	0	0	0	0	0	0.0310091	0	0	0	0	0	0	0	0	0.0454401	0	0.0001314	0	0	0	0
DP292	0	0	0	0.0093238	0	0	0	0	0	0	0	0	0	0	0	0	0.0017328	0	0.0318368	0	0.000244	0.0014384	0	0.0652961	0.021265	0.1811341	0.024049	0.0109747	0.0056994	0.0065784	0.0005804	0.0179537
DP287	0.0003932	0	0	0.0218946	0	0	0	0	0	0	0	0	0	0.00234	0	0	0.0003501	0	0.0055803	0	0.0339951	0.0027957	0	0.0172871	0	0.0722471	0.0196447	0	0	0.0002061	0	0.0026018
DP285	0	0	0	1.02e-05	0	0	0	0	0.0011378	3.84e-05	0	0	0	0.0051239	0	0	0.1114983	0	0	0	0	0.0037644	0	0.0598201	0	0.0001942	0.0651598	0.0286816	0.0122058	0.0254976	0	0
DP284	0	2.24e-05	0	0.0901719	0	0	0	0	4.62e-05	0	0	0	0	0.0011018	0.0001205	0	1.46e-05	0	0.0020681	0.0021346	0	0.0005293	0	7.2e-05	7.54e-05	0.0084517	0	0	0.0009099	0	0.0124356	0
DP282	7.24e-05	0.1675776	0.0001298	0.1952618	0	0	0	0	0	0	0	0	0	0.0012646	0	0	0	0	0.0016644	0.0010685	0.0002293	0.0042365	0.0001561	0.0060448	0	0.0038327	0.0191469	0.0003727	0	0.0004613	0	0
